,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
Lorengau,-2.02,147.27,83.05,77,100,11.9
Jumla,29.27,82.18,32.45,43,0,5.79
Pisco,-13.7,-76.22,72.82,30,100,13.87
Pevek,69.7,170.31,-12.86,100,100,8.25
San Patricio,19.22,-104.7,86.0,74,5,11.41
Puerto Ayora,-0.74,-90.35,86.0,62,20,19.46
Punta Arenas,-53.15,-70.92,56.52,58,75,23.04
Mataura,-46.19,168.86,57.74,83,100,1.7
Yellowknife,62.46,-114.35,-9.26,69,75,16.11
Bethel,41.37,-73.41,26.24,32,1,13.87
Rikitea,-23.12,-134.97,79.57,72,45,10.49
Busselton,-33.65,115.33,67.51,53,0,10.47
Arraial do Cabo,-22.97,-42.03,78.8,83,75,5.82
Nanortalik,60.14,-45.24,28.47,59,100,13.13
Bredasdorp,-34.53,20.04,68.94,64,100,6.93
Chokurdakh,70.63,147.92,-30.53,97,45,3.6
Bluff,-46.6,168.33,57.2,80,38,3.58
Norman Wells,65.28,-126.83,-25.6,67,75,2.93
Cherskiy,68.75,161.3,-24.27,98,100,5.97
Guerrero Negro,27.98,-114.06,69.91,39,5,8.05
Ushuaia,-54.8,-68.3,51.8,71,75,21.92
Sherbakul,54.63,72.4,10.4,85,75,6.71
Carutapera,-1.2,-46.02,80.31,82,100,11.72
Mar del Plata,-38.0,-57.56,71.2,50,20,6.93
Harper,4.38,-7.72,78.22,87,0,3.87
Rokytnice nad Jizerou,50.73,15.43,36.99,95,76,4.83
Albany,42.6,-73.97,14.79,43,1,13.87
Santiago del Estero,-27.8,-64.26,87.85,54,25,11.74
High Prairie,55.43,-116.49,-0.24,88,100,11.54
Kodiak,57.79,-152.41,33.8,74,90,13.87
Qaanaaq,77.48,-69.36,-4.02,43,0,8.08
Poum,-20.23,164.02,82.72,82,13,14.43
Torbay,47.67,-52.73,10.08,65,75,28.86
Abonnema,4.71,6.79,84.2,74,1,5.82
Jamestown,42.1,-79.24,13.89,61,90,5.82
Savelugu,9.62,-0.83,82.99,10,100,7.72
Sinnamary,5.38,-52.95,78.87,75,1,13.22
Cape Town,-33.93,18.42,67.48,72,20,10.29
Dikson,73.51,80.55,9.23,93,100,20.33
Bengkulu,-3.8,102.27,73.4,95,100,2.77
Necochea,-38.55,-58.74,75.0,64,0,1.01
Ilulissat,69.22,-51.1,19.4,44,75,29.97
Airai,-8.93,125.41,67.5,89,100,2.13
Atuona,-9.8,-139.03,81.61,74,100,16.42
Port Elizabeth,-33.92,25.57,68.0,82,75,6.93
Hermanus,-34.42,19.23,68.0,78,5,1.99
Manokwari,-0.87,134.08,72.95,84,62,4.81
Itaueira,-7.6,-43.03,80.19,83,48,4.45
Vaini,-21.2,-175.2,80.6,78,75,9.17
Dukat,62.55,155.55,-22.43,96,100,6.91
Jorochito,-18.05,-63.43,85.05,66,40,11.41
Cairns,-16.92,145.77,83.37,58,0,6.93
Tuktoyaktuk,69.45,-133.04,-36.4,65,5,3.36
Saint-Philippe,-21.36,55.77,75.15,83,75,4.7
Barao de Melgaco,-16.19,-55.97,89.6,52,20,5.82
Sioux Lookout,50.1,-91.92,13.3,36,75,11.41
Upernavik,72.79,-56.15,10.81,53,100,7.38
Kruisfontein,-34.0,24.73,64.4,90,0,1.57
Xichang,27.9,102.26,38.71,95,100,2.15
Souillac,-20.52,57.52,77.49,100,75,8.05
Cockburn Town,21.46,-71.14,80.6,65,40,11.41
Kalmunai,7.42,81.82,79.41,79,0,12.41
Popondetta,-8.75,148.25,73.02,93,99,4.18
Laguna,38.42,-121.42,59.45,67,1,8.05
Hobyo,5.35,48.53,78.57,73,97,22.62
Khatassy,61.9,129.64,-41.8,64,0,2.24
Tarakan,3.3,117.63,77.41,87,93,5.57
Lavrentiya,65.58,-171.0,-1.59,65,100,17.11
Grand Gaube,-20.01,57.66,77.59,100,75,8.05
Mount Isa,-20.73,139.5,71.6,73,0,2.24
Hithadhoo,-0.6,73.08,83.17,74,0,4.45
Shingu,33.73,135.98,53.76,82,93,4.61
Hilo,19.73,-155.09,71.98,61,20,10.29
Leningradskiy,69.38,178.42,-0.94,96,100,9.13
Mossamedes,-15.2,12.15,75.65,74,26,8.21
Vanimo,-2.67,141.3,81.55,78,90,7.65
Kondoa,-4.9,35.78,62.78,96,100,7.87
Kenai,60.55,-151.26,6.87,65,20,4.7
Springfield,37.22,-93.3,34.23,31,1,8.05
Nikolskoye,59.7,30.79,30.56,86,90,6.71
Paamiut,61.99,-49.67,21.25,53,100,15.79
Aksarka,66.56,67.8,6.15,96,100,3.2
Santa Rosalia,27.32,-112.28,67.28,25,79,5.14
Vasto,42.12,14.71,46.08,87,0,4.7
Hong Kong,22.29,114.16,67.53,94,40,17.22
Khatanga,71.97,102.5,5.9,93,100,10.0
Tatishchevo,51.67,45.6,24.01,64,5,1.01
Carnarvon,-24.87,113.63,75.2,83,40,10.29
Randfontein,-26.18,27.7,69.1,72,93,4.79
Katsuura,35.13,140.3,51.04,71,75,9.17
Hong Gai,20.96,107.09,71.6,100,75,4.7
Lerwick,60.15,-1.15,43.7,75,1,32.21
Bonthe,7.53,-12.51,79.79,79,29,9.95
Kirakira,-10.45,161.92,78.35,88,100,9.93
Half Moon Bay,37.46,-122.43,58.01,71,1,9.17
Ankang,32.68,109.02,28.99,97,100,3.42
Tambura,5.6,27.47,74.7,26,0,2.73
Cayenne,4.93,-52.33,82.4,69,75,10.29
Seoul,37.57,126.98,36.64,86,1,5.82
Bubaque,11.28,-15.83,79.84,73,68,11.34
Chicama,-7.84,-79.15,77.0,73,20,9.17
Sheridan,44.83,-106.92,34.25,67,90,32.21
